kelas;Hari;Jam;prof;Mata Kuliah;SKS;JPM;Dosen;Ruang
MICE-4C;Selasa;14.10 - 15.00;4;Self Manajemen dan Interpersonal  Skill;2;4;M. Hamdi, S.Psi;305
MICE-6C;Selasa;14.10 - 15.00;6;Penyelenggaraan Pameran;6;12;Fauzi Mubarak, S.ST, MT;online
MICE-2C;Rabu;07.30 - 08.20;2;Keprotokolan;2;4;Raden Ayu Trisnayoni, S.Tr.Par., M.Tr.Par;306
MICE-4C;Rabu;07.30 - 08.20;4;Perencanaan Incentive Travel;2;4;Imam Syafganti, S.Sos., M.Si., Ph.D./Karbala Madania, S.I.Kom.,M.Si;116
MICE-2C;Rabu;08.20 - 09.10;2;Keprotokolan;2;4;Raden Ayu Trisnayoni, S.Tr.Par., M.Tr.Par;306
MICE-4C;Rabu;08.20 - 09.10;4;Perencanaan Incentive Travel;2;4;Imam Syafganti, S.Sos., M.Si., Ph.D./Karbala Madania, S.I.Kom.,M.Si;116
MICE-2C;Rabu;09.10 - 10.00;2;Praktik Perkantoran;2;4;Dr. Etty Khongrat,SE.,M.Si;203
MICE-4C;Rabu;09.10 - 10.00;4;CIQ (Custom Immigration Quarantine);2;4;Annisa Wardhani, S.S.T, M.T;309
MICE-6C;Rabu;09.10 - 10.00;6;Manajemen Sumber Daya Manusia;2;4;Meisa Sofia, S.Tr., M.Par;online
MICE-2C;Rabu;10.00 - 10.50;2;Praktik Perkantoran;2;4;Dr. Etty Khongrat,SE.,M.Si;203
MICE-4C;Rabu;10.00 - 10.50;4;CIQ (Custom Immigration Quarantine);2;4;Annisa Wardhani, S.S.T, M.T;309
MICE-6C;Rabu;10.00 - 10.50;6;Manajemen Sumber Daya Manusia;2;4;Meisa Sofia, S.Tr., M.Par;online
MICE-2C;Rabu;10.50 - 11.40;2;Dasar-dasar Akuntansi;2;4;Sudarno, S.E., M.Si./Yuningsih S.E., M.Si.;116
MICE-4C;Rabu;10.50 - 11.40;4;Pemprograman Web Dinamis;2;4;Asep Erlan Maulana, S.Kom., M.Kom;303
MICE-6C;Rabu;10.50 - 11.40;6;Manajemen Strategik;2;4;Rimsky K Judiseno, SE, MM, PhD;online
MICE-2C;Rabu;12.30 - 13.20;2;Dasar-dasar Akuntansi;2;4;Sudarno, S.E., M.Si./Yuningsih S.E., M.Si.;116
MICE-4C;Rabu;12.30 - 13.20;4;Pemprograman Web Dinamis;2;4;Asep Erlan Maulana, S.Kom., M.Kom;303
MICE-6C;Rabu;12.30 - 13.20;6;Manajemen Strategik;2;4;Rimsky K Judiseno, SE, MM, PhD;online
MICE-2C;Rabu;13.20 - 14.10;2;Etika Profesi dan Bisnis;2;4;Meisa Sofia, S.Tr., M.Par;116
MICE-4C;Rabu;13.20 - 14.10;4;Manajemen Keuangan;2;4;Asterina Anggraini, M.M./Yuningsih S.E., M.Si;115
MICE-6C;Rabu;13.20 - 14.10;6;Manajemen Strategik;2;4;Rimsky K Judiseno, SE, MM, PhD;online
MICE-2C;Rabu;14.10 - 15.00;2;Etika Profesi dan Bisnis;2;4;Meisa Sofia, S.Tr., M.Par;116
MICE-4C;Rabu;14.10 - 15.00;4;Manajemen Keuangan;2;4;Asterina Anggraini, M.M./Yuningsih S.E., M.Si;115
MICE-6C;Rabu;14.10 - 15.00;6;Manajemen Strategik;2;4;Rimsky K Judiseno, SE, MM, PhD;online
MICE-2C;Kamis;07.30 - 08.20;2;Registrasi;2;4;Dr. Etty Khongrat,SE.,M.Si/Yuningsih S.E., M.Si;203
