kelas;Hari;Jam;prof;Mata Kuliah;SKS;JPM;Dosen;Ruang
ABT-2A;Selasa;08.20 - 09.10;2;Pemasaran dan Pelayanan Pelanggan;2;4;Dr. Dra. Iis Mariam, M.Si;103
ABT-4A;Selasa;08.20 - 09.10;4;Manajemen Distribusi dan Delivery;3;6;Haris Satria Putra , M.M.S.I.;310
ABT-6A;Selasa;08.20 - 09.10;6;Statistik Bisnis;3;6;Yoshua Ardy Putra , S.Si., M.T.;202
ABT-2A;Selasa;09.10 - 10.00;2;Komunikasi Bisnis;2;4;Risya Zahrotul Firdaus, S.I.Kom., M.Si;107
ABT-4A;Selasa;09.10 - 10.00;4;Manajemen Distribusi dan Delivery;3;6;Haris Satria Putra , M.M.S.I.;310
ABT-6A;Selasa;09.10 - 10.00;6;Statistik Bisnis;3;6;Yoshua Ardy Putra , S.Si., M.T.;202
ABT-2A;Selasa;10.00 - 10.50;2;Komunikasi Bisnis;2;4;Risya Zahrotul Firdaus, S.I.Kom., M.Si;107
ABT-4A;Selasa;10.00 - 10.50;4;Manajemen Distribusi dan Delivery;3;6;Haris Satria Putra , M.M.S.I.;310
ABT-6A;Selasa;10.00 - 10.50;6;Statistik Bisnis;3;6;Yoshua Ardy Putra , S.Si., M.T.;202
ABT-2A;Selasa;10.50 - 11.40;2;English For Business;2;4;Dr. Nidia Sofa, S.Pd.I, M.Pd;107
ABT-4A;Selasa;10.50 - 11.40;4;Manajemen Pergudangan;3;6;Yoshua Ardy Putra , S.Si., M.T.;309
ABT-6A;Selasa;10.50 - 11.40;6;Budgeting;3;6;Adilah Permananingrum, S.E., M.Sc.;online
ABT-2A;Selasa;12.30 - 13.20;2;English For Business;2;4;Dr. Nidia Sofa, S.Pd.I, M.Pd;107
ABT-4A;Selasa;12.30 - 13.20;4;Manajemen Pergudangan;3;6;Yoshua Ardy Putra , S.Si., M.T.;309
ABT-6A;Selasa;12.30 - 13.20;6;Budgeting;3;6;Adilah Permananingrum, S.E., M.Sc.;online
